rank_num,domain,taxon,taxon_rank,priority,sequences,file
145,bacteria,Thermoanaerobacteraceae,family,34.02,241,145_Thermoanaerobacteraceae_family.fna
146,bacteria,Rickettsiales,order,33.71,59,146_Rickettsiales_order.fna
147,bacteria,Isosphaeraceae,family,33.52,210,147_Isosphaeraceae_family.fna
148,bacteria,Paenibacillaceae,family,33.44,252,148_Paenibacillaceae_family.fna
149,bacteria,Prevotellaceae,family,33.28,2110,149_Prevotellaceae_family.fna
150,archaea,Desulfurococcaceae,family,33.12,54,150_Desulfurococcaceae_family.fna
151,bacteria,Halieaceae,family,32.7,234,151_Halieaceae_family.fna
152,bacteria,Crocinitomicaceae,family,32.29,159,152_Crocinitomicaceae_family.fna
153,bacteria,Syntrophobacterales,order,32.16,140,153_Syntrophobacterales_order.fna
154,bacteria,Ktedonobacteria,class,32.11,344,154_Ktedonobacteria_class.fna
155,bacteria,Desulfocapsaceae,family,32.04,462,155_Desulfocapsaceae_family.fna
156,bacteria,Lactobacillaceae,family,31.92,1186,156_Lactobacillaceae_family.fna
157,bacteria,Sphingobacteriaceae,family,31.61,494,157_Sphingobacteriaceae_family.fna
158,archaea,Thermoplasmatota,phylum,31.58,1024,158_Thermoplasmatota_phylum.fna
159,bacteria,Ectothiorhodospiraceae,family,31.52,74,159_Ectothiorhodospiraceae_family.fna
160,bacteria,Planctomycetales,order,31.08,242,160_Planctomycetales_order.fna
161,archaea,Methanomicrobiales,order,30.95,274,161_Methanomicrobiales_order.fna
162,bacteria,Saprospiraceae,family,30.7,696,162_Saprospiraceae_family.fna
163,bacteria,Holophagae,class,30.43,346,163_Holophagae_class.fna
164,bacteria,Rhodanobacteraceae,family,30.42,281,164_Rhodanobacteraceae_family.fna
165,bacteria,Microbacteriaceae,family,30.21,42,165_Microbacteriaceae_family.fna
166,bacteria,Acidimicrobiales,order,30.19,310,166_Acidimicrobiales_order.fna
167,bacteria,Fibrobacterota,phylum,29.86,335,167_Fibrobacterota_phylum.fna
168,bacteria,Nevskiales,order,29.74,57,168_Nevskiales_order.fna
169,bacteria,Thermoactinomycetaceae,family,29.67,45,169_Thermoactinomycetaceae_family.fna
170,bacteria,Pseudomonadales,order,29.57,420,170_Pseudomonadales_order.fna
171,bacteria,Coriobacteriia,class,29.38,191,171_Coriobacteriia_class.fna
172,bacteria,Puniceicoccales,order,29.35,106,172_Puniceicoccales_order.fna
173,bacteria,Rhodocyclaceae,family,29.04,86,173_Rhodocyclaceae_family.fna
174,bacteria,Cystobacterineae,suborder,28.98,83,174_Cystobacterineae_suborder.fna
175,bacteria,Calditrichota,phylum,28.86,38,175_Calditrichota_phylum.fna
176,bacteria,Bryobacterales,order,28.84,370,176_Bryobacterales_order.fna
177,bacteria,Opitutaceae,family,28.63,70,177_Opitutaceae_family.fna
178,archaea,Thermoplasmata,class,28.47,1024,178_Thermoplasmata_class.fna
179,bacteria,Beijerinckiaceae,family,28.45,457,179_Beijerinckiaceae_family.fna
180,bacteria,Alteromonadaceae,family,28.26,304,180_Alteromonadaceae_family.fna
181,bacteria,Gemmatimonadaceae,family,28.24,161,181_Gemmatimonadaceae_family.fna
182,bacteria,Peptoniphilaceae,family,27.95,380,182_Peptoniphilaceae_family.fna
183,bacteria,Chthoniobacterales,order,27.63,391,183_Chthoniobacterales_order.fna
184,bacteria,Eubacteriaceae,family,27.44,96,184_Eubacteriaceae_family.fna
185,bacteria,Nevskiaceae,family,27.43,55,185_Nevskiaceae_family.fna
