node_id	is_leaf
Sabatieria_G	yes
Saccamoeba_G	yes
Saccharomyces_G	yes
Saccharomycetaceae_F	no
Saccharomycetales.U.genus_ON	yes
Saccharomycetales_O	no
Saccharomycetes_C	no
Saccharomycotina.U.genus_ON	yes
Saccharomycotina_sP	no
Salicaceae_F	no
Saliceae_T	no
Salpingoecidae_F	no
Salpingoecidae_Group_C1_X_ON	yes
Sandona_G	yes
Sandonidae_F	no
Saprolegnia_G	yes
Saprolegniaceae_F	no
Saprolegniales_O	no
Sar_Cl	no
Sarcocystidae_F	no
Sarcocystis10_ON	yes
Sarcocystis_G	no
Sarcopterygii_SC	no
Sarcoptiformes_O	no
Sauria_Cl	no
Sauropsida_Cl	no
Sawyeria_G	yes
Schistosoma_G	yes
Schistosomatidae_F	no
Schistosomatoidea_SF	no
Schizoplasmodiidae.U.genus_ON	yes
Schizoplasmodiidae_F	no
Schizoplasmodium_G	yes
Schizosaccharomyces_G	yes
Schizosaccharomycetaceae_F	no
Schizosaccharomycetales_O	no
Schizosaccharomycetes_C	no
Sciaroidea_SF	no
Scleralcyonacea_O	no
Scrippsiella_G	yes
Scyphozoa_C	no
Scytomonadidae.U.genus_ON	yes
Scytomonadidae_F	no
Scytomonas_G	yes
Sedentaria_sC	no
Selenastraceae_F	no
Semaeostomeae_O	no
Separata_Cl	no
Serinales_O	no
Sessilida.U.genus_ON	yes
Sessilida_O	no
Sididae_F	no
Sigmoideomycetaceae_F	no
Silicofilosea_Cl	no
Simiiformes_iO	no
Simocephalus_G	yes
Skeletonema_G	yes
Skeletonemataceae_F	no
Smittium_G	yes
Sordariaceae_F	no
Sordariales_O	no
Sordariomycetes.U.genus_ON	yes
Sordariomycetes_C	no
Sordariomycetidae_sC	no
Sorghinae_sT	no
Sorghum_G	no
Sorghum_bicolor_S	yes
Spadicoides_G	yes
Spermatophyta_Cl	no
Spermatozopsis_G	yes
Sphaeropleales.U.genus_ON	yes
Sphaeropleales_O	no
Sphaerozoidae_F	no
Sphaerozoum_G	yes
Sphaerularioidea_SF	no
Spinibdella_G	yes
Spiralia_Cl	no
Spirocuta_Cl	no
Spironemidae_F	no
Spirotrichea_C	no
Spizellomyces_G	yes
Spizellomycetaceae_F	no
Spizellomycetales_O	no
Sporadotrichida_O	no
Spumella_G	yes
Spumellaria_O	no
Squamata_O	no
Sternorrhyncha_sO	no
Stichotrichia_sC	no
Stipodae_NR	no
