level,name,novelty_factor
genus,Colletotrichum,0.095
genus,Candida,0.725
genus,Anthozoa.U.genus,1.117
genus,Euglenozoa.U.genus,0.413
genus,Peronosporales.U.genus,0.038
genus,Oryza,0.043
genus,Kinetoplastea_XXX,0.804
genus,Kinetoplastea_XX_MET8,0.205
genus,Kinetoplastea_XX_MET10,0.33
genus,Kinetoplastea.U.genus,4.027
genus,Kinetoplastea_XX.U.genus,0.223
genus,Kinetoplastea_XX_MET3,0.071
genus,Crustacea.U.genus,2.449
genus,Mucoromycotina.U.genus,0.5
genus,Mucoromycotina_XX,0.07
genus,Phytophthora,0.798
genus,Zoopagomycota_XXX,0.094
genus,Zoopagomycota_XX.U.genus,0.031
genus,Zoopagomycota.U.genus,0.005
genus,Neurospora,0.382
genus,Annelida_XX.U.genus,0.317
genus,Zea,186.0
genus,Caenorhabditis,1.163
genus,Plasmodiidae.U.genus,1.731
genus,Ciliophora.U.genus,10.037
genus,Echinodermata_XXX,0.453
genus,Coemansia,0.082
genus,Platyhelminthes.U.genus,8.343
genus,Chytridiomycota.U.genus,7.162
genus,Chytridiomycota_XXX,0.041
genus,Taphrinomycotina.U.genus,0.472
genus,Bigyra.U.genus,0.714
genus,Exophiala,2.4
genus,Rhizopus,9.571
genus,Chlorophyceae.U.genus,0.135
genus,Rotifera_XX.U.genus,4.913
genus,Malassezia,14.19
genus,Opalozoa.U.genus,9.909
genus,Amoebozoa.U.genus,66.889
genus,Schizosaccharomyces,0.25
genus,Debaryomyces,0.067
genus,Blastocystis,4.8
genus,Cryptosporidiidae.U.genus,0.3
genus,Cryptosporidium15,0.15
genus,Cryptosporidium13,0.15
genus,Cryptosporidium4,0.1
genus,Cryptosporidium1,2.5
genus,Chlorellales_X.U.genus,6.711
genus,Trypanosoma,3.696
genus,Chlorellales_XX,0.658
genus,Zymoseptoria,2.667
genus,Bathycoccus,1.5
genus,Oribatida,0.246
genus,Rhizaria.U.genus,0.111
genus,Pythium,6.565
genus,Chlamydomonadales_X.U.genus,4.341
genus,Branchiopoda.U.genus,3.571
genus,Corynespora,27.5
genus,Plasmodium4,0.4
genus,Plasmodium1,4.4
genus,Plasmodium2,1.0
genus,Neocallimastigaceae.U.genus,0.667
genus,Neocallimastigomycota_XXX,6.0
genus,Bacillariophyceae_XXX,0.235
genus,Glycine,17.0
genus,Dinoflagellata.U.genus,0.667
genus,Dinophyceae.U.genus,33.03
genus,Dinophyceae_XXX,0.424
genus,Thalassiosirales.U.genus,1.559
genus,Trichosporon,3.231
genus,Lipomyces,0.158
genus,Hexamitidae.U.genus,121.0
genus,Rhizophagus,33.714
genus,Discosea_X.U.genus,1.037
genus,Neocallimastix,1.0
genus,Populus,0.889
genus,Oligohymenophorea.U.genus,17.842
genus,Podospora,0.462
genus,Babesia6,0.25
