file,domain,taxon,rank,seq_count,avg_length,min_length,max_length,priority,expected_otu,lineage,genera_count
014_Actinomycetes_class.fna,bacteria,Actinomycetes,class,2942,1412.6,1200,3032,348.19,4280,Bacteria > Bacillati > Actinomycetota,97
015_Flavobacteriaceae_family.fna,bacteria,Flavobacteriaceae,family,1594,1432.9,1200,2103,337.72,2264,Bacteroidota > Flavobacteriia > Flavobacteriales,73
016_Bacilli_class.fna,bacteria,Bacilli,class,4901,1430.4,1200,3469,335.02,5457,Bacteria > Bacillati > Bacillota,95
017_Bacteroidia_class.fna,bacteria,Bacteroidia,class,7354,1427.2,1200,2826,304.2,11185,FCB group > Bacteroidota/Chlorobiota group > Bacteroidota,57
018_Hyphomicrobiales_order.fna,bacteria,Hyphomicrobiales,order,1527,1403.8,1200,1825,252.58,2378,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,60
019_Rhodobacterales_order.fna,bacteria,Rhodobacterales,order,2093,1392.4,1200,2540,247.93,1242,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,71
020_Cytophagales_order.fna,bacteria,Cytophagales,order,1609,1435.7,1200,1772,244.64,2632,Bacteroidota/Chlorobiota group > Bacteroidota > Cytophagia,63
021_Chloroflexota_phylum.fna,bacteria,Chloroflexota,phylum,3203,1401.4,1200,1659,241.73,13186,root > Bacteria > Bacillati,39
022_Lachnospirales_order.fna,bacteria,Lachnospirales,order,11167,1405.0,1200,2917,236.37,12495,Bacillati > Bacillota > Clostridia,46
023_Acidobacteriota_phylum.fna,bacteria,Acidobacteriota,phylum,2241,1457.8,1200,1588,231.9,9081,root > Bacteria > Pseudomonadati,32
024_Bacillales_order.fna,bacteria,Bacillales,order,2177,1431.0,1200,3104,226.59,2410,Bacillati > Bacillota > Bacilli,65
025_Planctomycetota_phylum.fna,bacteria,Planctomycetota,phylum,3768,1432.6,1200,1689,225.11,13064,Bacteria > Pseudomonadati > PVC group,36
026_Bacteroidales_order.fna,bacteria,Bacteroidales,order,6577,1426.9,1200,2826,214.56,9849,Bacteroidota/Chlorobiota group > Bacteroidota > Bacteroidia,39
027_Methanobacteriota_phylum.fna,archaea,Methanobacteriota,phylum,1558,1206.0,900,3106,209.76,2386,root > Archaea > Methanobacteriati,66
028_Lachnospiraceae_family.fna,bacteria,Lachnospiraceae,family,11167,1405.0,1200,2917,207.54,12300,Bacillota > Clostridia > Lachnospirales,40
029_Verrucomicrobiota_phylum.fna,bacteria,Verrucomicrobiota,phylum,1409,1452.8,1200,1883,202.85,9999,Bacteria > Pseudomonadati > PVC group,34
030_Paracoccaceae_family.fna,bacteria,Paracoccaceae,family,451,1397.8,1200,1521,166.58,607,Pseudomonadota > Alphaproteobacteria > Rhodobacterales,43
031_Chitinophagales_order.fna,bacteria,Chitinophagales,order,702,1438.5,1205,1797,164.15,2454,Bacteroidota/Chlorobiota group > Bacteroidota > Chitinophagia,30
032_Chitinophagaceae_family.fna,bacteria,Chitinophagaceae,family,702,1438.5,1205,1797,159.8,1927,Bacteroidota > Chitinophagia > Chitinophagales,29
033_Burkholderiales_order.fna,bacteria,Burkholderiales,order,2123,1435.0,1200,1840,157.83,2439,Pseudomonadati > Pseudomonadota > Betaproteobacteria,46
034_Rhodospirillales_order.fna,bacteria,Rhodospirillales,order,538,1410.9,1200,1533,156.84,1958,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,39
035_Planctomycetia_class.fna,bacteria,Planctomycetia,class,2378,1430.7,1200,1601,151.56,5778,Pseudomonadati > PVC group > Planctomycetota,25
036_Desulfobacteria_class.fna,bacteria,Desulfobacteria,class,3706,1467.5,1200,1748,149.38,1741,Bacteria > Pseudomonadati > Thermodesulfobacteriota,26
