node,rank,num_genera,total_priority_score,avg_priority_score,total_otu,path,top_genera,all_genera
Orobanchaceae,family,1,10.27,10.27,160,asterids > lamiids > Lamiales,Rehmannia(10.3),Rehmannia
Sphaeropleales,order,3,10.23,3.41,59,core chlorophytes > Chlorophyceae > CS clade,"Ankistrodesmus(5.0), Sphaeropleales.U.genus(3.5), Raphidocelis(1.7)",Ankistrodesmus;Sphaeropleales.U.genus;Raphidocelis
Tobrilidae,family,1,10.21,10.21,11,Triplonchida > Tobrilina > Tobriloidea,Tobrilus(10.2),Tobrilus
Nucleariidae,family,1,10.21,10.21,11,Eukaryota > Opisthokonta > Rotosphaerida,Nucleariidae_Nuclearia_2_X(10.2),Nucleariidae_Nuclearia_2_X
Reophacidae,family,1,10.0,10.0,10,Retaria > Foraminifera > Lituolida,Reophax(10.0),Reophax
Vampyrellidae,family,1,10.0,10.0,10,Rhizaria > Endomyxa > Vampyrellida,Vampyrella(10.0),Vampyrella
Panagrolaimidae,family,1,9.77,9.77,9,Tylenchina > Panagrolaimomorpha > Panagrolaimoidea,Plectonchus(9.8),Plectonchus
Ventrifissuridae,family,1,9.77,9.77,9,Cercozoa > Thecofilosea > Ventricleftida,Ventrifissura(9.8),Ventrifissura
Astrorhizidae,family,1,9.77,9.77,9,Foraminifera > Monothalamids > Astrorhizida,Astrorhiza(9.8),Astrorhiza
Evaginogenida,order,1,9.77,9.77,9,Intramacronucleata > Phyllopharyngea > Suctoria,Evaginogenida_X(9.8),Evaginogenida_X
Tylenchomorpha,infraorder,2,9.72,4.86,232,Chromadorea > Rhabditida > Tylenchina,"Heterodera(7.9), Ditylenchus(1.8)",Heterodera;Ditylenchus
Nematocera,suborder,3,9.72,3.24,67,Neoptera > Endopterygota > Diptera,"Culex(5.8), Culiseta(2.2), Mayetiola(1.7)",Culex;Culiseta;Mayetiola
Microlaimidae,family,1,9.52,9.52,8,Desmodorida > Desmodorina > Microlaimoidea,Prodesmodora(9.5),Prodesmodora
Nygolaiminae,subfamily,1,9.52,9.52,8,Nygolaimina > Nygolaimoidea > Nygolaimidae,Clavicaudoides(9.5),Clavicaudoides
Thaumatomastigidae,family,1,9.52,9.52,8,Imbricatea > Silicofilosea > Thaumatomonadida,Thaumatomonas(9.5),Thaumatomonas
Neogregarinorida,order,2,9.39,4.7,7,Apicomplexa > Conoidasida > Gregarinasina,"Mattesia(6.5), Neogregarinorida.U.genus(2.9)",Mattesia;Neogregarinorida.U.genus
Piroplasmida,order,2,9.3,4.65,121,Alveolata > Apicomplexa > Aconoidasida,"Theileria1(6.5), Babesiidae.U.genus(2.8)",Theileria1;Babesiidae.U.genus
Salpingoecidae,family,1,9.1,9.1,148,Opisthokonta > Choanoflagellata > Craspedida,Salpingoecidae_Group_C1_X(9.1),Salpingoecidae_Group_C1_X
Phaeosphaeriaceae,family,1,8.92,8.92,172,Pleosporomycetidae > Pleosporales > Pleosporineae,Phaeosphaeria(8.9),Phaeosphaeria
Cryptodifflugiidae,family,1,8.89,8.89,6,Elardia > Arcellinida > Phryganellina,Cryptodifflugia(8.9),Cryptodifflugia
Gastropidae,family,1,8.89,8.89,6,Monogononta > Pseudotrocha > Ploima,Ascomorpha(8.9),Ascomorpha
Apinae,subfamily,1,8.75,8.75,236,Apoidea > Anthophila > Apidae,Apis(8.8),Apis
Glomeraceae,family,1,8.53,8.53,236,Glomeromycotina > Glomeromycetes > Glomerales,Rhizophagus(8.5),Rhizophagus
Flabellulidae,family,1,8.49,8.49,5,Tubulinea > Elardia > Leptomyxida,Ripidomyxa(8.5),Ripidomyxa
Centropagidae,family,1,8.49,8.49,5,Neocopepoda > Gymnoplea > Calanoida,Centropages(8.5),Centropages
Metridinidae,family,1,8.49,8.49,5,Neocopepoda > Gymnoplea > Calanoida,Metridia(8.5),Metridia
Eriococcidae,family,1,8.49,8.49,5,Hemiptera > Sternorrhyncha > Coccoidea,Cryptococcus(8.5),Cryptococcus
Penthaleidae,family,1,8.49,8.49,5,Prostigmata > Eupodina > Eupodoidea,Penthaleus(8.5),Penthaleus
Dacrymycetaceae,family,1,8.49,8.49,5,Agaricomycotina > Dacrymycetes > Dacrymycetales,Guepiniopsis(8.5),Guepiniopsis
Pterocystida,order,1,8.49,8.49,5,Eukaryota > Haptista > Centroplasthelida,Choanocystis(8.5),Choanocystis
Rhabditina,suborder,2,8.46,4.23,127,Nematoda > Chromadorea > Rhabditida,"Pristionchus(5.5), Caenorhabditis(2.9)",Pristionchus;Caenorhabditis
Sarcocystidae,family,1,8.3,8.3,76,Coccidia > Eucoccidiorida > Eimeriorina,Sarcocystis10(8.3),Sarcocystis10
Cintractiaceae,family,1,8.06,8.06,69,Ustilaginomycotina > Ustilaginomycetes > Ustilaginales,Ustanciosporium(8.1),Ustanciosporium
Culicinae,subfamily,2,8.03,4.01,65,Culicomorpha > Culicoidea > Culicidae,"Culex(5.8), Culiseta(2.2)",Culex;Culiseta
Rhynchomonadidae,family,1,8.01,8.01,4,Kinetoplastea > Metakinetoplastina > Neobodonida,Rhynchomonas(8.0),Rhynchomonas
Bosminidae,family,1,8.01,8.01,4,Diplostraca > Cladocera > Anomopoda,Bosmina(8.0),Bosmina
Sididae,family,1,8.01,8.01,4,Diplostraca > Cladocera > Ctenopoda,Diaphanosoma(8.0),Diaphanosoma
Pontellidae,family,1,8.01,8.01,4,Neocopepoda > Gymnoplea > Calanoida,Anomalocera(8.0),Anomalocera
Cyclopidae,family,1,8.01,8.01,4,Neocopepoda > Podoplea > Cyclopoida,Cyclops(8.0),Cyclops
Parhypochthoniidae,family,1,8.01,8.01,4,Oribatida > Parhyposomata > Parhypochthonioidea,Parhypochthonius(8.0),Parhypochthonius
Limnofilidae,family,1,8.01,8.01,4,Sar > Rhizaria > Cercozoa,Limnofilidae_X(8.0),Limnofilidae_X
Heteroderinae,subfamily,1,7.92,7.92,228,Tylenchomorpha > Tylenchoidea > Heteroderidae,Heterodera(7.9),Heterodera
Eriophyidae,family,2,7.89,3.94,6,Prostigmata > Eupodina > Eriophyoidea,"Surapoda(5.0), Aculops(2.9)",Surapoda;Aculops
