taxon_name,level,novelty_factor,taxid,lineage,lineage_taxids
Ottowia,genus,2.929,219181,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia,131567;2;3379134;1224;28216;80840;80864;219181
Pseudoflavonifractor,genus,0.051,1017280,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Pseudoflavonifractor,131567;2;1783272;1239;186801;186802;216572;1017280
Sphingorhabdus,genus,2.053,1434046,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingorhabdus,131567;2;3379134;1224;28211;204457;41297;1434046
Peptostreptococcus,genus,3.455,1257,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Peptostreptococcus,131567;2;1783272;1239;186801;3082720;186804;1257
Senegalimassilia,genus,3.25,1473205,cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Senegalimassilia,131567;2;1783272;201174;84998;84999;84107;1473205
Aliivibrio,genus,0.52,511678,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Aliivibrio,131567;2;3379134;1224;1236;135623;641;511678
Sporosarcina,genus,0.817,1569,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Caryophanaceae;Sporosarcina,131567;2;1783272;1239;91061;1385;186818;1569
Glaciecola,genus,2.1,89404,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Glaciecola,131567;2;3379134;1224;1236;135622;72275;89404
Thioalkalivibrio,genus,0.307,106633,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio,131567;2;3379134;1224;1236;135613;72276;106633
Snodgrassella,genus,0.12,1193515,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Snodgrassella,131567;2;3379134;1224;28216;206351;481;1193515
Companilactobacillus,genus,0.114,2767879,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Companilactobacillus,131567;2;1783272;1239;91061;186826;33958;2767879
Rahnella,genus,0.615,34037,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella,131567;2;3379134;1224;1236;91347;1903411;34037
Avibacterium,genus,0.357,292486,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Avibacterium,131567;2;3379134;1224;1236;135625;712;292486
