genus,nf,otu_count,priority_score
Orbus,1.2,6,1.92
Confluentibacter,1.2,6,1.92
Stomatobaculum,1.25,5,1.86
Rudaea,1.25,5,1.86
Algimonas,1.25,5,1.86
Euzebya,1.25,5,1.86
Altibacter,1.25,5,1.86
Laceyella,1.25,5,1.86
Desulfocurvus,1.25,5,1.86
Nitrosococcus,1.25,5,1.86
Cecembia,1.25,5,1.86
Pontivivens,1.25,5,1.86
Thiorhodovibrio,1.25,5,1.86
Asinibacterium,1.25,5,1.86
Haloimpatiens,1.25,5,1.86
Angelakisella,1.333,4,1.8
Xylella,1.333,4,1.8
Lentilitoribacter,1.333,4,1.8
Emcibacter,1.333,4,1.8
Chiayiivirga,1.333,4,1.8
Saccharophagus,1.333,4,1.8
Hydrogenibacillus,1.333,4,1.8
Wolinella,1.333,4,1.8
Malikia,1.333,4,1.8
Arcticibacterium,1.333,4,1.8
Kyrpidia,1.333,4,1.8
Pseudoxanthobacter,1.333,4,1.8
Sebaldella,1.333,4,1.8
Rudanella,1.333,4,1.8
Sinobacterium,1.333,4,1.8
Caryophanon,1.333,4,1.8
Halospina,1.333,4,1.8
Heliobacterium,1.333,4,1.8
Youngiibacter,1.333,4,1.8
Crassaminicella,1.333,4,1.8
Taylorella,1.5,3,1.74
Dermatophilus,1.5,3,1.74
Succinimonas,1.5,3,1.74
Candidatus Atelocyanobacterium,1.5,3,1.74
Paucimonas,1.5,3,1.74
Leminorella,1.5,3,1.74
Pleomorphochaeta,1.5,3,1.74
Eoetvoesia,1.5,3,1.74
Nitriliruptor,1.5,3,1.74
Mahella,1.5,3,1.74
Pseudoteredinibacter,1.5,3,1.74
Bowdeniella,1.5,3,1.74
Nitrococcus,1.5,3,1.74
Anseongella,1.5,3,1.74
Thermanaerovibrio,1.5,3,1.74
Otariodibacter,1.5,3,1.74
Rarobacter,1.5,3,1.74
Melittangium,1.5,3,1.74
Gynuella,1.5,3,1.74
Marinisporobacter,1.5,3,1.74
Marivibrio,1.5,3,1.74
Halioxenophilus,1.5,3,1.74
Sulfuritortus,1.5,3,1.74
Alkalitalea,1.5,3,1.74
Aestuariispira,1.5,3,1.74
Heliorestis,1.5,3,1.74
Acetonema,1.5,3,1.74
Thorsellia,1.5,3,1.74
Euhalothece,1.5,3,1.74
Neptunitalea,1.5,3,1.74
Oceaniovalibus,1.5,3,1.74
Litoribrevibacter,1.5,3,1.74
Oceanirhabdus,1.5,3,1.74
Umboniibacter,1.5,3,1.74
Salsuginibacillus,1.5,3,1.74
Agaribacterium,1.5,3,1.74
Aureisphaera,1.5,3,1.74
Caldovatus,1.5,3,1.74
uncultured_proteobacterium.Mitochondria,2.0,2,1.69
Obesumbacterium,2.0,2,1.69
Pragia,2.0,2,1.69
Gloeotrichia,2.0,2,1.69
Rhodothalassium,2.0,2,1.69
Muribacter,2.0,2,1.69
Thermolongibacillus,2.0,2,1.69
Marseilla,2.0,2,1.69
Frederiksenia,2.0,2,1.69
Wigglesworthia,2.0,2,1.69
Pseudobowmanella,2.0,2,1.69
Spelaeicoccus,2.0,2,1.69
Smaragdicoccus,2.0,2,1.69
Thiococcus,2.0,2,1.69
Asaccharospora,2.0,2,1.69
Plectonema,2.0,2,1.69
Roseicitreum,2.0,2,1.69
Pisciglobus,2.0,2,1.69
Klugiella,2.0,2,1.69
Acaricomes,2.0,2,1.69
Tenggerimyces,2.0,2,1.69
Agaricicola,2.0,2,1.69
Dissulfurirhabdus,2.0,2,1.69
Desulfurispirillum,2.0,2,1.69
Spirobacillus,2.0,2,1.69
Propioniferax,2.0,2,1.69
Iphinoe,2.0,2,1.69
Lacibacterium,2.0,2,1.69
Haloactinospora,2.0,2,1.69
Aliinostoc,2.0,2,1.69
Thermotalea,2.0,2,1.69
Aureibacillus,2.0,2,1.69
Parablastomonas,2.0,2,1.69
Eisenibacter,2.0,2,1.69
Desulfothermobacter,2.0,2,1.69
Galenea,2.0,2,1.69
Syntrophobotulus,2.0,2,1.69
Plesiocystis,2.0,2,1.69
Melghiribacillus,2.0,2,1.69
Desulfonispora,2.0,2,1.69
Allosalinactinospora,2.0,2,1.69
Allofustis,2.0,2,1.69
Aquimixticola,2.0,2,1.69
Shivajiella,2.0,2,1.69
Phorcysia,2.0,2,1.69
Thiorhodospira,2.0,2,1.69
Phaseolibacter,2.0,2,1.69
Prolinoborus,2.0,2,1.69
Fervidicella,2.0,2,1.69
Sporohalobacter,2.0,2,1.69
Thioflavicoccus,2.0,2,1.69
Filobacillus,2.0,2,1.69
Seinonella,2.0,2,1.69
Chrysiogenes,2.0,2,1.69
Catelliglobosispora,2.0,2,1.69
Thermasporomyces,2.0,2,1.69
Marinithermus,2.0,2,1.69
Dethiosulfatarculus,2.0,2,1.69
Anaerotaenia,2.0,2,1.69
Demetria,2.0,2,1.69
Costertonia,2.0,2,1.69
Pseudospirillum,2.0,2,1.69
Gomphosphaeria,2.0,2,1.69
Temperatibacter,2.0,2,1.69
Namhaeicola,2.0,2,1.69
Eilatimonas,2.0,2,1.69
Chitinivibrio,2.0,2,1.69
Neosynechococcus,2.0,2,1.69
Chondrocystis,2.0,2,1.69
Symplocastrum,2.0,2,1.69
Saliterribacillus,2.0,2,1.69
Plectolyngbya,2.0,2,1.69
